"Region Code","Timestamp (Hour Ending)","SOCO Demand (MWh)"
SE,"3/9/2022, Central Time",594289
SE,"3/10/2022, Central Time",588245
SE,"3/11/2022, Central Time",575452
SE,"3/12/2022, Central Time",681936
SE,"3/13/2022, Central Time",684491
SE,"3/14/2022, Central Time",662243
SE,"3/15/2022, Central Time",588378
SE,"3/16/2022, Central Time",571231
SE,"3/17/2022, Central Time",572719
SE,"3/18/2022, Central Time",571545
SE,"3/19/2022, Central Time",521251
SE,"3/20/2022, Central Time",533761
SE,"3/21/2022, Central Time",576803
SE,"3/22/2022, Central Time",566773
SE,"3/23/2022, Central Time",563386
SE,"3/24/2022, Central Time",553326
SE,"3/25/2022, Central Time",560318
SE,"3/26/2022, Central Time",537946
SE,"3/27/2022, Central Time",534908
SE,"3/28/2022, Central Time",576487
SE,"3/29/2022, Central Time",579559
SE,"3/30/2022, Central Time",582249
SE,"3/31/2022, Central Time",564757
SE,"4/1/2022, Central Time",543750
SE,"4/2/2022, Central Time",520680
SE,"4/3/2022, Central Time",517695
SE,"4/4/2022, Central Time",565756
SE,"4/5/2022, Central Time",569410
SE,"4/6/2022, Central Time",588809
SE,"4/7/2022, Central Time",558099
SE,"4/8/2022, Central Time",566320
SE,"4/9/2022, Central Time",575965
SE,"4/10/2022, Central Time",562698
SE,"4/11/2022, Central Time",561670
SE,"4/12/2022, Central Time",591051
SE,"4/13/2022, Central Time",598397
SE,"4/14/2022, Central Time",582936
SE,"4/15/2022, Central Time",554142
SE,"4/16/2022, Central Time",534510
SE,"4/17/2022, Central Time",527555
SE,"4/18/2022, Central Time",556235
SE,"4/19/2022, Central Time",562075
SE,"4/20/2022, Central Time",568492
SE,"4/21/2022, Central Time",580523
SE,"4/22/2022, Central Time",599080
SE,"4/23/2022, Central Time",573360
SE,"4/24/2022, Central Time",581064
SE,"4/25/2022, Central Time",643633
SE,"4/26/2022, Central Time",609490
SE,"4/27/2022, Central Time",584950
SE,"4/28/2022, Central Time",587804
SE,"4/29/2022, Central Time",591964
SE,"4/30/2022, Central Time",588309
SE,"5/1/2022, Central Time",601737
SE,"5/2/2022, Central Time",680817
SE,"5/3/2022, Central Time",702968
SE,"5/4/2022, Central Time",713290
SE,"5/5/2022, Central Time",726071
SE,"5/6/2022, Central Time",661812
SE,"5/7/2022, Central Time",563417
SE,"5/8/2022, Central Time",545482
SE,"5/9/2022, Central Time",598470
SE,"5/10/2022, Central Time",627629
SE,"5/11/2022, Central Time",660832
SE,"5/12/2022, Central Time",681661
SE,"5/13/2022, Central Time",652543
SE,"5/14/2022, Central Time",640511
SE,"5/15/2022, Central Time",649840
SE,"5/16/2022, Central Time",712186
SE,"5/17/2022, Central Time",704891
SE,"5/18/2022, Central Time",732881
SE,"5/19/2022, Central Time",792918
SE,"5/20/2022, Central Time",779188
SE,"5/21/2022, Central Time",728594
SE,"5/22/2022, Central Time",695982
SE,"5/23/2022, Central Time",672436
SE,"5/24/2022, Central Time",700269
SE,"5/25/2022, Central Time",665304
SE,"5/26/2022, Central Time",652021
SE,"5/27/2022, Central Time",663498
SE,"5/28/2022, Central Time",624625
SE,"5/29/2022, Central Time",644614
SE,"5/30/2022, Central Time",688864
SE,"5/31/2022, Central Time",746901
SE,"6/1/2022, Central Time",782142
SE,"6/2/2022, Central Time",739325
SE,"6/3/2022, Central Time",748223
SE,"6/4/2022, Central Time",698327
SE,"6/5/2022, Central Time",686203
SE,"6/6/2022, Central Time",735602
SE,"6/7/2022, Central Time",767975
SE,"6/8/2022, Central Time",773473
SE,"6/9/2022, Central Time",773062
SE,"6/10/2022, Central Time",726353
SE,"6/11/2022, Central Time",732397
SE,"6/12/2022, Central Time",788989
SE,"6/13/2022, Central Time",897417
SE,"6/14/2022, Central Time",897592
SE,"6/15/2022, Central Time",900630
SE,"6/16/2022, Central Time",910164
SE,"6/17/2022, Central Time",885593
SE,"6/18/2022, Central Time",817361
SE,"6/19/2022, Central Time",735516
SE,"6/20/2022, Central Time",790070
SE,"6/21/2022, Central Time",844031
SE,"6/22/2022, Central Time",894050
SE,"6/23/2022, Central Time",928228
SE,"6/24/2022, Central Time",888921
SE,"6/25/2022, Central Time",813965
SE,"6/26/2022, Central Time",779643
SE,"6/27/2022, Central Time",803911
SE,"6/28/2022, Central Time",786238
SE,"6/29/2022, Central Time",776058
SE,"6/30/2022, Central Time",788163
SE,"7/1/2022, Central Time",760869
SE,"7/2/2022, Central Time",753889
SE,"7/3/2022, Central Time",757867
SE,"7/4/2022, Central Time",776769
SE,"7/5/2022, Central Time",841005
SE,"7/6/2022, Central Time",892405
SE,"7/7/2022, Central Time",886587
SE,"7/8/2022, Central Time",867487
SE,"7/9/2022, Central Time",782407
SE,"7/10/2022, Central Time",756378
SE,"7/11/2022, Central Time",770626
SE,"7/12/2022, Central Time",791425
SE,"7/13/2022, Central Time",754061
SE,"7/14/2022, Central Time",740526
SE,"7/15/2022, Central Time",757054
SE,"7/16/2022, Central Time",736263
SE,"7/17/2022, Central Time",743971
SE,"7/18/2022, Central Time",781378
SE,"7/19/2022, Central Time",754175
SE,"7/20/2022, Central Time",808973
SE,"7/21/2022, Central Time",769585
SE,"7/22/2022, Central Time",759416
SE,"7/23/2022, Central Time",748661
SE,"7/24/2022, Central Time",759553
SE,"7/25/2022, Central Time",790297
SE,"7/26/2022, Central Time",816249
SE,"7/27/2022, Central Time",832185
SE,"7/28/2022, Central Time",833936
SE,"7/29/2022, Central Time",818503
SE,"7/30/2022, Central Time",743247
SE,"7/31/2022, Central Time",745131
SE,"8/1/2022, Central Time",749672
SE,"8/2/2022, Central Time",787326
SE,"8/3/2022, Central Time",771602
SE,"8/4/2022, Central Time",780279
SE,"8/5/2022, Central Time",794097
SE,"8/6/2022, Central Time",750849
SE,"8/7/2022, Central Time",733963
SE,"8/8/2022, Central Time",757367
SE,"8/9/2022, Central Time",760087
SE,"8/10/2022, Central Time",736073
SE,"8/11/2022, Central Time",726109
SE,"8/12/2022, Central Time",738269
SE,"8/13/2022, Central Time",690762
SE,"8/14/2022, Central Time",702849
SE,"8/15/2022, Central Time",772004
SE,"8/16/2022, Central Time",758304
SE,"8/17/2022, Central Time",706362
SE,"8/18/2022, Central Time",699510
SE,"8/19/2022, Central Time",685884
SE,"8/20/2022, Central Time",698365
SE,"8/21/2022, Central Time",681404
SE,"8/22/2022, Central Time",706817
SE,"8/23/2022, Central Time",713572
SE,"8/24/2022, Central Time",699972
SE,"8/25/2022, Central Time",690624
